datetime,open,high,low,close,volume,EMA_fast,EMA_slow,ATR,ADX,DC_upper,DC_lower,trade_type,signals
2018-04-28 05:30:00,8915.35,9427.48,8870.0,9348.0,34759.62842,8545.448983443643,8525.715230031634,551.8588766108018,28.91414194606496,9759.82,6611.0,HOLD,0
2018-04-29 05:30:00,9348.0,9570.51,9163.74,9419.0,38149.850035,8628.644318353772,8560.74600532451,541.495385424316,29.674978022579467,9759.82,6611.0,HOLD,0
2018-04-30 05:30:00,9417.04,9458.64,9124.99,9246.01,35002.033875,8687.441049939127,8587.619103154922,526.6492864654364,30.231721180989226,9759.82,6656.0,HOLD,0
2018-05-01 05:30:00,9246.01,9248.99,8800.49,9071.48,41018.463633,8724.016188040163,8606.594040286102,521.0671945750481,29.577205278996175,9759.82,6743.2,HOLD,0
2018-05-02 05:30:00,9071.48,9268.0,8970.2,9247.84,26123.543961,8773.904170131576,8631.740940667038,505.11953781968754,29.01155961121885,9759.82,6743.2,HOLD,0
2018-05-03 05:30:00,9247.81,9844.0,9168.4,9750.0,38768.388288,8866.865677738093,8675.594237111467,517.2967136897099,29.583065856702436,9759.82,7732.0,HOLD,0
2018-05-04 05:30:00,9750.0,9830.04,9520.85,9713.99,28681.588879,8947.54418462018,8716.315639577684,502.43194842615924,30.113750227508625,9844.0,7810.0,HOLD,0
2018-05-05 05:30:00,9714.0,10020.0,9682.0,9864.0,24990.018345,9034.825690846828,8761.322869398167,490.6868092528622,30.92027733040729,9844.0,7825.4,LONG,1
2018-05-06 05:30:00,9863.99,9970.0,9417.03,9659.01,27690.351559,9094.271815528082,8796.526286284514,495.1356085919434,30.71145681181048,10020.0,7825.4,HOLD,0
2018-05-07 05:30:00,9661.02,9689.67,9181.0,9365.0,33787.640012,9120.055452144454,8818.819373096887,496.10235083537606,29.755251866563807,10020.0,7825.4,HOLD,0
2018-05-08 05:30:00,9365.0,9475.7,9060.54,9187.56,25533.831889,9126.484456702126,8833.279789838185,490.32075434713494,28.50013538619249,10020.0,7868.0,HOLD,0
2018-05-09 05:30:00,9178.0,9390.0,8965.0,9310.0,25673.524899,9143.9621274924,8851.97470004061,485.6549861794824,27.04558429198575,10020.0,8080.0,HOLD,0
2018-05-10 05:30:00,9310.0,9395.12,8970.0,9002.2,25055.063718,9130.460972493123,8857.865888274313,481.33105859523374,25.70856318605563,10020.0,8177.09,HOLD,0
2018-05-11 05:30:00,9002.21,9016.8,8341.0,8400.0,48227.048061,9060.893260827112,8839.91036324395,495.2216972670027,24.945808672128766,10020.0,8565.0,HOLD,0
2018-05-12 05:30:00,8405.94,8646.88,8153.0,8465.94,40241.32081,9004.231045510245,8825.24485880301,495.125861747931,24.631424619158626,10020.0,8341.0,HOLD,0
2018-05-13 05:30:00,8475.44,8763.36,8298.0,8679.71,25632.869362,8973.324279271174,8819.537609438186,492.99972876593597,23.982123178585887,10020.0,8153.0,HOLD,0
2018-05-14 05:30:00,8679.71,8879.99,8277.0,8663.34,37389.666533,8943.801966959632,8813.41221298963,500.8561767112262,23.02565853125262,10020.0,8153.0,HOLD,0
